time,forecast
2048,-7.042858542
2049,9.623922632
2050,1.265575184
2051,1.950966762
2052,7.270609735
2053,-5.350680722
2054,7.147261191
2055,-5.145924874
2056,3.390972547
2057,12.96594773
2058,2.33832446
2059,12.06626847
2060,-11.02756428
2061,-3.577365604
2062,9.461250704
2063,-9.660423932
2064,2.425031912
2065,-9.883777391
2066,-4.709837219
2067,14.89063469
2068,7.823148767
2069,-5.747987106
2070,-2.49208412
2071,1.448811058
2072,-3.217893319
2073,9.195969359
2074,8.017030861
2075,0.13317184
2076,12.08858272
2077,-19.66186354
2078,0.717090475
2079,1.655594693
2080,27.72875108
2081,5.420226535
2082,-11.73665454
2083,0.129119021
2084,-1.817453955
2085,2.265196054
2086,-13.87098572
2087,-6.518435928
2088,-13.81156547
2089,3.187454679
2090,12.6477684
2091,7.339564203
2092,-2.393278455
2093,9.057232447
2094,7.771686141
2095,3.587129764
2096,-8.092408389
2097,2.366592904
2098,5.977400949
2099,-6.678259047
2100,4.263009003
2101,13.52909099
2102,0.903490725
2103,-9.026313989
2104,3.072442497
2105,1.502714314
2106,-3.018547035
2107,-6.383013505
2108,-8.674889474
2109,0.339949904
2110,10.38705163
2111,-13.25274116
2112,-1.566251254
2113,3.475324964
2114,-0.688388627
2115,-3.588854002
2116,-7.065656246
2117,-1.30221142
2118,-8.063936283
2119,-9.483257009
2120,4.887649969
2121,2.769209742
2122,-4.696185019
2123,-6.024887553
2124,0.474566186
2125,6.422411024
2126,5.647829076
2127,6.502657407
2128,0.584727359
2129,13.22582547
2130,4.797148087
2131,7.012011528
2132,-10.39438951
2133,-1.688581788
2134,27.04201535
2135,0.036736854
2136,11.37099017
2137,1.327029275
2138,-0.851125742
2139,11.11792562
2140,6.909473529
2141,-4.287771577
2142,-0.266477983
2143,3.430103665
2144,-5.673510755
2145,-8.297296949
2146,-0.734703892
2147,-1.231411974
2148,6.849681674
2149,8.264696794
2150,3.197734994
2151,16.36018877
2152,3.733051764
2153,-1.85071954
2154,-1.723571112
2155,-6.835012053
2156,-5.192828389
2157,-12.98502829
2158,-5.161812735
2159,-1.372356517
2160,2.712359314
2161,-16.97796194
2162,3.31628212
2163,-0.91935728
2164,-0.383657699
2165,-7.306653649
2166,5.248267034
2167,-7.813050782
2168,2.241508587
2169,-9.16228692
2170,-9.531751015
2171,1.9665889
2172,16.83030146
2173,-5.620545767
2174,8.073142724
2175,1.587384449
2176,17.30481931
2177,1.62423448
2178,7.494130306
2179,-1.237129143
2180,-1.057618268
2181,14.79955856
2182,3.360231169
2183,1.59532044
2184,-4.198058235
2185,-27.28807064
2186,-19.34744106
2187,-4.207907744
2188,-3.311493969
2189,6.766041959
2190,-7.474671869
2191,-2.840094967
2192,-10.33510618
2193,-12.06738287
2194,-0.54529502
2195,1.881512988
2196,-8.30756515
2197,0.802840286
2198,-8.895846379
2199,-7.9231426
2200,6.064856735
2201,-6.843306923
2202,-3.365825741
2203,0.383524287
2204,4.510866564
2205,-11.02835133
2206,11.36178912
2207,3.699450896
2208,-11.83601553
2209,10.46114245
2210,-4.204264661
2211,0.320258859
2212,1.469709235
2213,4.148677207
2214,17.82571265
2215,-7.349816191
2216,-2.941786521
2217,2.170442629
2218,-6.186454309
2219,4.753638578
2220,-2.817274531
2221,-0.534700067
2222,-0.927077566
2223,-13.32602841
2224,3.895045667
2225,15.25558271
2226,-22.14717119
2227,-0.628124891
2228,-9.946330081
2229,5.951859815
2230,-4.019077309
2231,8.373248967
2232,-5.724813933
2233,17.88469811
2234,-13.17494245
2235,2.567460604
2236,2.615413119
2237,-7.051273207
2238,-0.878595913
2239,1.641675093
2240,13.14202411
2241,9.678854616
2242,-3.268120826
2243,1.568932614
2244,-4.64871161
2245,9.601820138
2246,-4.162155656
2247,0.182302983
2248,4.718728187
2249,-10.58061094
2250,-2.067373419
2251,15.06449314
2252,0.33820201
2253,3.420456689
2254,-5.765652371
2255,9.457635298
2256,-7.575173144
2257,-19.85621821
2258,1.449784998
2259,3.147280927
2260,0.991698242
2261,7.923295208
2262,9.218948626
2263,1.006092558
2264,-5.155027915
2265,2.672256663
2266,9.075963587
